create_rate,modified_rate,rename_rate,delete_rate,operations_rate,directories_affected,activity_burst,label
7.522,32.259,33.999,0.024,74.249,5,46.0,1
0.224,0.263,0.276,0.0,0.816,1,3.0,0
9.752,29.615,18.063,1.977,59.419,4,49.0,1
6.199,16.815,5.215,2.487,30.647,6,43.0,1
2.95,1.75,0.29,0.01,4.976,1,3.0,0
1.137,2.144,0.306,0.475,4.056,3,2.0,0
1.427,2.723,0.479,0.942,5.609,2,4.0,0
2.71,7.564,5.812,0.606,16.827,5,17.0,1
1.319,6.567,8.22,0.496,16.679,5,8.0,1
2.997,5.161,5.269,0.365,13.848,3,12.0,1
2.532,6.598,4.542,0.267,14.159,5,9.0,1
1.223,15.779,25.927,0.348,43.173,5,18.0,1
3.253,18.075,5.394,3.635,30.295,11,38.0,1
2.342,14.301,10.666,1.411,28.524,7,30.0,1
0.225,0.229,0.0,0.0,0.526,2,3.0,0
5.76,13.894,11.217,0.741,31.606,5,36.0,1
1.929,1.971,0.207,0.398,4.435,1,2.0,0
7.143,33.192,23.946,0.319,64.833,7,20.0,1
0.182,0.774,0.0,0.0,0.866,1,2.0,0
2.184,1.062,0.7,0.447,4.349,1,6.0,0
3.338,2.198,0.079,0.474,6.042,2,6.0,0
1.121,5.352,6.983,0.104,13.637,5,13.0,1
0.244,1.195,0.0,0.0,1.422,2,2.0,0
1.187,4.173,8.096,0.785,14.205,6,17.0,1
3.184,23.055,18.084,0.365,44.679,4,13.0,1
3.077,20.364,10.554,3.067,37.073,10,24.0,1
0.251,0.135,0.0,0.0,0.341,0,0.0,0
7.583,13.705,18.321,0.535,40.055,4,45.0,1
3.07,17.707,11.047,1.913,33.848,3,33.0,1
2.106,1.34,0.331,0.116,3.851,3,2.0,0
1.948,14.955,22.985,1.218,41.464,3,14.0,1
2.996,7.981,8.251,0.632,19.889,3,15.0,1
2.601,2.893,0.471,1.08,7.077,1,6.0,0
1.297,2.259,0.243,0.409,4.252,1,2.0,0
3.572,4.369,0.123,1.169,9.228,1,3.0,0
1.255,2.365,0.735,0.483,4.945,2,6.0,0
2.418,1.532,0.0,0.606,4.623,1,2.0,0
0.049,0.409,0.0,0.0,0.515,2,2.0,0
0.013,0.064,0.0,0.0,0.141,1,0.0,0
5.665,15.839,25.654,0.835,48.362,8,53.0,1
2.842,21.641,27.366,0.948,52.666,7,45.0,1
4.231,16.926,32.417,1.456,55.149,8,56.0,1
4.017,22.479,23.967,1.936,52.485,3,16.0,1
4.695,12.053,20.253,3.759,40.814,4,37.0,1
4.419,19.258,5.517,1.514,30.586,10,40.0,1
0.155,0.454,0.0,0.0,0.612,1,2.0,0
5.889,18.632,9.133,2.066,35.786,12,22.0,1
0.389,1.005,0.303,0.0,1.704,1,3.0,0
1.481,0.645,0.0,0.424,2.53,1,3.0,0
3.477,1.759,0.32,0.318,5.928,3,5.0,0
3.234,15.56,27.572,0.175,46.387,5,28.0,1
3.993,17.27,32.571,2.523,56.528,8,41.0,1
2.866,12.647,5.917,1.603,22.999,12,25.0,1
0.101,0.292,0.0,0.0,0.385,0,0.0,0
0.284,0.127,0.0,0.0,0.363,1,0.0,0
0.241,0.528,0.0,0.0,0.832,1,2.0,0
1.501,1.896,0.0,0.459,3.852,1,4.0,0
2.64,22.451,14.557,2.952,42.967,6,43.0,1
3.772,34.164,13.47,2.638,53.992,8,37.0,1
6.837,10.186,22.25,0.107,39.131,4,55.0,1
0.004,0.526,0.0,0.0,0.453,0,0.0,0
0.022,0.326,0.0,0.0,0.318,2,1.0,0
1.067,1.979,0.358,0.461,3.867,2,4.0,0
0.586,0.729,0.0,0.564,1.796,2,5.0,0
0.016,0.717,0.383,0.0,1.107,2,3.0,0
4.948,12.429,7.475,1.768,26.65,5,39.0,1
1.478,1.056,0.0,0.362,2.831,1,4.0,0
0.049,0.872,0.0,0.0,0.964,2,3.0,0
0.063,0.091,0.0,0.0,0.158,0,1.0,0
0.118,0.045,0.0,0.0,0.13,0,1.0,0
3.683,19.943,33.972,0.387,58.134,6,43.0,1
0.091,0.128,0.0,0.0,0.189,1,0.0,0
1.639,0.605,0.0,0.168,2.485,2,4.0,0
2.274,1.304,0.109,0.323,4.041,2,2.0,0
9.356,20.838,34.71,0.477,65.354,8,51.0,1
1.549,2.177,0.762,0.108,4.612,3,4.0,0
0.026,0.335,0.0,0.0,0.394,2,2.0,0
6.174,24.551,32.241,0.681,63.557,6,18.0,1
0.01,0.233,0.0,0.0,0.14,1,0.0,0
1.909,2.384,0.403,0.545,5.277,3,3.0,0
0.259,0.679,0.0,0.0,0.956,1,2.0,0
0.08,0.005,0.0,0.0,0.13,0,2.0,0
1.566,1.955,0.335,0.386,4.157,2,4.0,0
0.022,0.986,0.0,0.0,0.975,2,1.0,0
8.447,9.239,21.423,0.973,40.608,5,44.0,1
0.733,1.925,0.0,0.175,2.795,2,2.0,0
0.548,0.536,0.0,0.356,1.351,1,4.0,0
2.195,8.948,6.712,0.392,18.165,5,14.0,1
2.421,0.862,0.0,0.736,4.045,1,4.0,0
6.352,12.715,9.902,0.563,29.068,6,38.0,1
1.171,5.165,4.54,0.392,11.275,4,15.0,1
3.114,8.529,7.073,0.524,18.915,4,11.0,1
8.535,18.949,14.354,1.468,43.525,3,53.0,1
4.607,17.961,8.629,2.539,33.583,4,20.0,1
1.18,0.585,0.0,0.284,2.089,2,5.0,0
3.765,3.711,0.438,1.494,9.377,3,3.0,0
9.128,8.619,15.752,1.812,34.925,6,54.0,1
1.08,8.939,5.33,0.551,16.043,4,12.0,1
4.277,31.356,11.774,2.925,49.934,6,18.0,1
6.889,33.92,16.415,1.216,58.522,5,45.0,1
4.082,3.178,0.104,1.247,8.512,1,7.0,0
0.027,0.073,0.0,0.0,0.087,1,0.0,0
3.928,12.2,29.615,0.341,45.86,2,38.0,1
6.079,33.385,32.773,2.474,74.575,8,45.0,1
7.787,12.556,15.336,0.421,36.579,7,13.0,1
5.986,13.246,8.382,1.744,29.135,8,44.0,1
7.034,18.049,6.342,1.581,33.084,9,13.0,1
5.718,11.363,19.997,0.827,37.701,11,22.0,1
5.373,17.71,20.22,0.989,43.848,7,26.0,1
3.576,19.137,16.046,2.594,41.895,5,30.0,1
3.197,4.932,7.818,0.866,17.135,5,8.0,1
2.394,7.727,12.905,2.381,25.672,8,31.0,1
2.419,1.063,0.0,0.749,4.256,2,5.0,0
1.359,4.746,8.189,0.946,15.145,5,7.0,1
9.307,28.677,28.641,0.725,67.384,8,37.0,1
2.304,21.32,19.573,1.685,45.249,6,58.0,1
0.033,0.113,0.0,0.0,0.125,0,1.0,0
0.075,0.408,0.0,0.0,0.516,1,1.0,0
2.373,15.652,12.331,2.739,33.345,9,30.0,1
3.682,21.02,13.552,3.457,41.541,8,13.0,1
2.434,5.725,4.373,0.834,13.35,3,8.0,1
1.444,1.745,0.407,0.073,3.655,2,2.0,0
2.764,2.845,0.486,0.333,6.475,3,3.0,0
3.142,18.134,21.512,3.348,45.93,4,26.0,1
0.247,0.321,0.0,0.0,0.548,1,1.0,0
0.081,0.32,0.12,0.0,0.535,1,3.0,0
1.183,1.931,0.0,0.698,3.761,2,4.0,0
6.011,11.514,11.002,1.213,29.533,4,58.0,1
0.01,0.092,0.0,0.0,0.098,1,2.0,0
0.057,0.149,0.0,0.0,0.187,0,0.0,0
6.811,15.336,22.426,2.571,47.382,4,31.0,1
0.389,0.454,0.0,0.0,0.808,1,2.0,0
2.933,5.181,8.016,0.134,16.2,5,13.0,1
0.239,0.688,0.0,0.096,1.136,2,1.0,0
5.177,8.252,28.568,0.377,42.274,8,43.0,1
9.255,12.628,11.304,0.951,33.963,3,25.0,1
0.114,0.024,0.0,0.0,0.029,1,1.0,0
6.536,28.585,14.125,0.68,50.026,4,22.0,1
3.578,5.841,27.091,0.396,36.858,4,32.0,1
1.125,5.572,5.55,0.164,12.09,4,17.0,1
0.043,0.049,0.0,0.0,0.038,0,0.0,0
0.036,0.12,0.0,0.0,0.197,0,0.0,0
2.706,4.508,6.151,0.952,14.292,4,7.0,1
6.876,20.892,34.194,1.812,63.985,3,23.0,1
2.43,2.869,0.322,1.329,6.856,3,6.0,0
0.138,0.357,0.0,0.0,0.432,1,0.0,0
6.508,23.469,22.639,1.406,54.059,5,24.0,1
5.502,32.651,28.727,2.258,69.523,3,53.0,1
2.828,24.902,18.828,2.595,49.22,5,23.0,1
7.94,8.32,10.602,3.959,30.957,9,18.0,1
0.031,0.432,0.19,0.0,0.722,0,0.0,0
1.635,2.519,0.738,0.258,5.107,1,6.0,0
0.345,0.405,0.209,0.0,0.981,2,3.0,0
1.742,5.913,34.655,1.606,43.749,6,19.0,1
2.507,7.368,6.098,0.191,16.093,6,9.0,1
7.645,8.383,8.986,1.188,25.705,10,27.0,1
0.099,0.179,0.0,0.0,0.246,0,1.0,0
0.111,0.502,0.0,0.0,0.511,0,0.0,0
0.262,0.539,0.0,0.0,0.837,1,3.0,0
3.336,24.685,15.79,0.775,44.455,5,59.0,1
3.303,24.64,33.799,2.501,64.207,3,52.0,1
7.568,12.288,22.943,2.619,45.585,8,34.0,1
2.127,6.681,7.089,0.008,16.14,4,10.0,1
0.001,0.04,0.0,0.0,0.029,1,0.0,0
7.419,18.144,5.303,0.213,30.972,12,42.0,1
5.433,29.678,33.639,0.301,69.481,4,26.0,1
2.297,7.742,7.46,0.697,17.896,5,15.0,1
0.042,0.205,0.0,0.0,0.299,1,2.0,0
0.655,1.902,0.0,0.71,3.31,1,3.0,0
3.076,8.851,5.129,0.095,17.196,4,11.0,1
8.03,17.066,14.306,1.405,40.708,4,48.0,1
3.707,3.522,0.329,0.617,8.231,1,5.0,0
3.189,23.858,24.321,2.588,54.136,5,16.0,1
1.392,1.812,0.0,0.789,4.035,2,4.0,0
2.213,6.327,4.371,0.11,13.232,6,15.0,1
0.14,0.468,0.0,0.0,0.659,1,2.0,0
5.403,11.681,5.332,2.128,24.56,10,12.0,1
2.084,0.83,0.009,0.602,3.448,1,3.0,0
7.501,14.486,16.324,2.131,40.418,4,18.0,1
0.079,0.009,0.0,0.0,0.017,0,0.0,0
1.905,13.165,15.431,1.937,32.451,3,47.0,1
0.173,0.049,0.0,0.0,0.217,0,0.0,0
2.326,4.985,0.198,1.25,8.847,2,4.0,0
2.114,2.568,0.693,0.109,5.506,2,6.0,0
8.8,14.07,8.155,1.61,32.49,6,24.0,1
4.105,9.098,24.931,1.223,39.292,7,34.0,1
0.3,0.742,0.0,0.0,1.075,1,3.0,0
2.277,16.632,18.223,1.14,38.055,10,13.0,1
7.323,27.882,26.023,0.086,61.204,6,49.0,1
2.929,8.239,13.741,1.986,26.375,5,15.0,1
0.27,0.439,0.0,0.0,0.683,1,2.0,0
0.034,0.062,0.0,0.0,0.063,0,0.0,0
0.386,0.598,0.0,0.0,1.039,2,1.0,0
8.665,18.121,29.455,0.271,56.368,8,19.0,1
0.4,0.187,0.0,0.074,0.604,1,1.0,0
7.494,27.409,24.077,1.294,60.235,8,35.0,1
0.533,0.568,0.017,0.135,1.231,2,4.0,0
1.423,15.998,13.906,0.328,31.708,7,17.0,1
1.983,5.709,12.897,1.076,21.477,5,20.0,1
1.159,4.439,0.111,1.176,6.777,2,4.0,0
4.664,17.071,13.357,2.644,37.67,4,20.0,1
7.783,25.6,28.433,1.219,62.952,4,49.0,1
4.403,4.735,0.034,1.349,10.5,3,4.0,0
3.889,2.184,0.026,0.253,6.355,3,6.0,0
3.039,12.436,10.726,0.287,26.354,4,21.0,1
8.076,20.495,28.386,0.727,57.68,5,57.0,1
0.072,0.942,0.0,0.0,0.939,1,2.0,0
2.899,4.422,0.355,1.476,9.06,1,5.0,0
2.89,3.822,0.496,1.297,8.441,1,5.0,0
4.36,1.637,0.449,1.06,7.463,2,4.0,0
0.197,0.072,0.0,0.0,0.302,0,0.0,0
7.195,20.133,9.475,0.768,37.711,8,24.0,1
3.147,7.73,26.079,0.084,37.147,6,23.0,1
7.103,19.811,18.726,0.909,46.372,7,22.0,1
0.084,0.162,0.0,0.0,0.2,1,1.0,0
0.381,0.272,0.345,0.0,0.929,2,2.0,0
1.914,1.319,0.0,0.397,3.671,1,2.0,0
2.106,4.909,0.072,0.856,7.933,1,3.0,0
5.665,9.491,16.164,1.837,33.65,10,24.0,1
0.113,0.154,0.0,0.0,0.216,1,1.0,0
0.029,0.09,0.0,0.168,0.21,0,0.0,0
3.721,2.24,0.438,1.112,7.535,3,3.0,0
0.335,0.532,0.0,0.0,0.877,2,2.0,0
3.051,2.565,0.391,1.441,7.488,2,4.0,0
3.53,2.694,0.059,1.344,7.612,1,6.0,0
4.13,13.808,25.807,0.283,44.155,3,25.0,1
1.253,2.278,0.167,0.432,4.091,2,4.0,0
0.372,1.137,0.0,0.0,1.463,2,1.0,0
0.16,0.501,0.0,0.0,0.69,1,3.0,0
4.99,7.935,31.09,0.053,43.992,6,34.0,1
8.625,17.319,30.086,0.318,56.524,6,58.0,1
2.273,0.791,0.0,0.38,3.49,1,2.0,0
1.003,1.61,0.0,0.57,3.142,2,2.0,0
3.871,4.005,0.133,0.441,8.38,3,5.0,0
2.017,5.373,5.573,0.941,13.783,5,13.0,1
0.217,0.433,0.0,0.0,0.667,2,2.0,0
0.022,0.05,0.0,0.0,0.125,1,0.0,0
2.858,14.938,10.884,0.687,29.664,4,48.0,1
0.079,0.0,0.0,0.0,0.022,1,1.0,0
5.415,16.466,27.605,2.482,52.087,4,57.0,1
2.594,32.076,14.728,2.753,52.056,5,23.0,1
4.462,3.489,0.211,1.356,9.403,2,3.0,0
6.412,13.713,32.224,1.437,54.016,5,35.0,1
1.099,3.782,5.884,0.353,11.451,6,17.0,1
2.085,1.785,0.152,0.433,4.59,2,3.0,0
0.277,0.077,0.0,0.0,0.347,0,0.0,0
0.029,0.199,0.0,0.0,0.296,0,0.0,0
4.136,10.275,12.869,1.846,29.197,9,37.0,1
2.114,2.64,0.527,0.181,5.489,2,5.0,0
4.333,13.917,20.685,0.065,39.184,3,35.0,1
0.014,0.003,0.0,0.0,0.079,1,0.0,0
0.183,0.266,0.0,0.0,0.467,0,2.0,0
0.007,0.191,0.0,0.0,0.092,1,0.0,0
5.002,19.312,9.492,3.265,36.876,10,24.0,1
2.331,1.494,0.0,0.552,4.288,2,4.0,0
0.03,0.016,0.0,0.0,0.053,0,1.0,0
1.42,4.056,6.492,0.826,12.942,5,16.0,1
0.185,0.361,0.0,0.0,0.621,1,0.0,0
3.135,1.932,0.639,0.104,5.916,2,3.0,0
2.662,3.901,0.447,0.906,7.912,1,3.0,0
5.569,29.822,30.964,0.903,67.144,4,47.0,1
0.076,0.498,0.0,0.0,0.607,1,0.0,0
0.039,0.05,0.0,0.0,0.181,0,2.0,0
0.299,0.375,0.235,0.09,1.056,2,2.0,0
2.855,5.176,5.014,0.359,13.58,3,14.0,1
0.033,0.894,0.0,0.0,0.903,2,1.0,0
5.271,20.311,17.963,3.14,46.906,7,34.0,1
1.944,4.08,3.316,0.04,9.163,6,17.0,1
3.292,26.99,20.489,2.783,53.827,5,54.0,1
2.318,8.172,7.131,0.136,17.732,3,9.0,1
0.02,0.131,0.0,0.0,0.274,0,1.0,0
0.025,0.473,0.0,0.0,0.553,1,2.0,0
2.161,9.112,27.275,0.478,38.808,4,42.0,1
1.5,12.492,10.909,0.338,25.397,6,40.0,1
3.441,1.36,0.124,0.399,5.329,2,4.0,0
1.164,6.16,6.07,0.081,13.223,6,9.0,1
2.602,2.282,0.38,0.026,5.289,3,2.0,0
0.117,0.187,0.0,0.0,0.372,1,0.0,0
0.01,0.43,0.0,0.0,0.445,0,1.0,0
8.412,12.464,34.494,0.371,55.624,5,19.0,1
3.326,8.965,5.998,0.939,19.004,3,16.0,1
4.16,15.641,32.601,0.587,53.269,6,47.0,1
8.51,33.935,17.041,2.103,61.618,7,36.0,1
4.121,31.757,15.045,1.094,51.832,3,22.0,1
0.209,0.711,0.0,0.0,0.927,1,2.0,0
2.316,7.261,5.313,0.702,15.478,4,11.0,1
1.356,1.94,0.253,0.431,3.974,2,4.0,0
0.833,1.714,0.0,0.444,3.06,2,2.0,0
0.061,0.16,0.0,0.0,0.212,0,1.0,0
2.183,2.376,0.216,0.045,4.855,1,6.0,0
3.173,7.684,5.346,0.816,17.137,6,14.0,1
6.795,18.288,13.354,1.371,39.56,6,19.0,1
4.536,25.42,12.72,2.05,44.792,3,57.0,1
0.259,0.005,0.0,0.0,0.344,0,0.0,0
1.425,4.244,6.204,0.906,12.978,5,11.0,1
1.262,1.077,0.725,0.015,3.086,2,5.0,0
0.011,0.495,0.0,0.0,0.582,0,0.0,0
3.757,4.377,0.126,0.347,8.6,2,5.0,0
2.066,1.609,0.186,1.16,5.073,2,5.0,0
0.278,1.121,0.0,0.0,1.409,2,1.0,0
8.233,25.01,23.79,0.068,57.598,8,44.0,1
3.717,4.319,0.359,1.48,9.848,1,6.0,0
0.85,7.157,4.669,0.659,13.671,6,10.0,1
4.947,6.136,11.794,0.315,23.185,4,28.0,1
3.216,2.7,0.73,0.178,6.796,2,5.0,0
0.064,0.992,0.33,0.0,1.352,1,3.0,0
9.291,25.884,15.759,1.225,52.467,8,31.0,1
5.44,15.848,9.781,0.095,31.214,7,50.0,1
4.099,14.715,16.368,0.94,36.081,7,40.0,1
2.142,20.724,31.382,1.58,55.804,6,57.0,1
0.304,0.748,0.0,0.0,1.129,1,2.0,0
2.447,1.276,0.0,0.498,4.241,1,3.0,0
4.445,34.138,16.907,1.102,56.402,8,19.0,1
7.892,24.56,26.122,2.857,61.799,8,28.0,1
0.028,0.113,0.0,0.0,0.124,0,0.0,0
0.066,0.15,0.0,0.0,0.21,1,0.0,0
2.488,8.467,4.908,0.269,16.304,3,8.0,1
0.169,0.649,0.0,0.0,0.745,2,1.0,0
7.86,24.455,16.794,1.663,50.827,9,42.0,1
0.364,0.12,0.0,0.0,0.531,1,0.0,0
0.059,0.394,0.085,0.0,0.465,1,0.0,0
0.184,0.097,0.0,0.0,0.189,0,0.0,0
0.092,0.178,0.0,0.0,0.251,0,0.0,0
1.551,2.003,0.191,0.27,4.03,2,5.0,0
4.754,11.272,16.574,1.964,34.365,6,47.0,1
1.61,0.712,0.0,0.442,2.699,2,5.0,0
1.428,1.969,0.22,0.362,3.947,1,3.0,0
4.614,19.806,12.384,2.672,39.66,8,15.0,1
0.166,0.074,0.0,0.0,0.227,0,1.0,0
2.381,1.752,0.0,0.611,4.724,1,2.0,0
3.976,4.331,0.041,0.891,9.22,2,6.0,0
1.43,8.551,3.623,0.312,14.016,5,14.0,1
6.667,23.782,18.635,2.968,51.571,6,58.0,1
7.256,7.74,6.743,0.235,22.194,4,23.0,1
2.353,2.789,0.26,1.239,6.665,1,3.0,0
0.093,0.079,0.0,0.0,0.144,1,0.0,0
0.009,0.818,0.0,0.0,0.794,2,3.0,0
8.319,21.068,15.501,2.262,46.761,5,29.0,1
7.731,14.844,12.656,2.523,37.721,6,19.0,1
2.685,1.932,0.483,1.011,6.082,3,6.0,0
0.328,0.508,0.0,0.112,0.947,2,1.0,0
6.569,13.602,9.42,3.994,33.364,5,27.0,1
4.994,15.958,21.766,1.691,44.3,4,46.0,1
3.451,8.698,29.566,0.443,41.846,7,23.0,1
2.334,9.716,19.37,1.618,32.699,12,16.0,1
1.932,1.909,0.0,0.534,4.422,1,3.0,0
2.363,1.144,0.0,0.279,3.806,1,4.0,0
0.164,0.686,0.0,0.0,0.799,2,2.0,0
1.644,5.426,25.562,0.164,32.29,5,19.0,1
0.093,0.02,0.0,0.0,0.151,0,0.0,0
0.339,0.491,0.0,0.0,0.861,1,1.0,0
0.016,0.141,0.0,0.0,0.101,0,2.0,0
0.192,0.001,0.0,0.0,0.143,0,0.0,0
6.962,6.555,18.786,1.323,33.508,9,44.0,1
7.66,8.58,27.517,2.342,46.426,4,35.0,1
0.331,1.149,0.0,0.0,1.43,2,1.0,0
0.019,0.086,0.0,0.0,0.129,0,1.0,0
4.387,21.54,20.374,3.551,49.77,7,36.0,1
3.273,2.501,0.742,0.191,6.743,2,4.0,0
1.576,1.338,0.0,0.225,3.201,1,5.0,0
4.596,9.134,28.702,0.518,43.007,5,44.0,1
1.356,15.661,15.545,0.435,33.297,6,24.0,1
0.042,0.328,0.0,0.0,0.479,1,0.0,0
0.816,8.841,5.319,0.345,15.557,5,11.0,1
3.439,2.233,0.391,0.086,6.205,2,5.0,0
6.549,12.722,23.348,2.656,45.311,6,52.0,1
1.117,6.137,5.525,0.263,12.767,5,16.0,1
0.006,0.0,0.0,0.0,0.0,0,1.0,0
0.32,0.211,0.0,0.0,0.608,1,0.0,0
3.15,1.42,0.338,0.398,5.26,3,4.0,0
0.256,0.268,0.0,0.0,0.497,1,3.0,0
9.473,21.486,26.075,2.597,59.375,7,34.0,1
1.685,1.297,0.0,0.329,3.336,1,2.0,0
2.019,4.326,5.248,0.688,12.209,4,16.0,1
4.809,4.427,12.879,0.004,22.223,2,30.0,1
2.781,2.945,0.791,0.148,6.69,1,4.0,0
1.291,1.074,0.681,0.096,3.171,2,6.0,0
5.477,18.884,24.893,2.7,52.247,3,32.0,1
0.255,0.646,0.0,0.0,0.837,2,3.0,0
2.324,8.306,8.123,0.784,19.799,6,16.0,1
5.564,12.267,16.51,3.305,37.606,11,23.0,1
5.705,18.37,21.073,3.855,49.058,6,33.0,1
6.053,6.25,7.651,0.963,20.719,11,22.0,1
3.966,10.273,26.046,1.072,41.811,4,34.0,1
0.797,1.764,0.0,0.386,3.015,2,2.0,0
0.107,0.16,0.0,0.0,0.331,0,1.0,0
0.009,0.095,0.0,0.0,0.111,1,0.0,0
2.119,7.006,16.363,2.026,27.242,6,20.0,1
0.309,0.609,0.0,0.0,0.921,1,3.0,0
1.396,1.522,0.0,0.337,3.349,1,5.0,0
4.393,7.119,10.97,1.975,24.634,11,17.0,1
0.129,0.461,0.148,0.0,0.667,1,1.0,0
0.022,0.005,0.0,0.0,0.0,0,0.0,0
7.632,25.205,16.338,2.672,51.793,6,47.0,1
1.441,1.182,0.2,0.109,2.963,2,5.0,0
1.819,4.093,5.306,0.707,12.005,3,17.0,1
0.001,0.057,0.0,0.0,0.08,0,0.0,0
1.411,15.508,38.864,0.91,56.806,3,39.0,1
0.156,0.019,0.0,0.0,0.18,0,1.0,0
7.837,19.517,13.593,3.806,44.719,12,28.0,1
1.177,1.294,0.0,0.334,2.71,2,2.0,0
6.997,19.399,5.917,2.715,34.929,9,16.0,1
1.728,11.226,20.213,1.37,33.982,5,38.0,1
2.15,2.692,0.404,0.368,5.586,3,6.0,0
2.138,8.561,3.284,0.809,14.879,4,7.0,1
1.482,1.988,0.0,0.719,4.16,2,4.0,0
0.364,0.207,0.0,0.0,0.642,2,3.0,0
0.078,0.457,0.0,0.0,0.544,2,1.0,0
0.299,0.944,0.0,0.0,1.247,2,2.0,0
2.948,13.905,18.648,3.171,38.996,4,38.0,1
1.701,3.787,0.425,0.702,6.623,3,7.0,0
4.137,2.275,0.248,0.538,7.18,3,3.0,0
2.428,17.93,17.264,1.292,38.834,8,12.0,1
8.512,30.173,22.141,2.369,63.264,5,35.0,1
7.807,9.945,12.355,1.857,32.185,4,44.0,1
2.88,4.397,0.055,0.835,8.215,2,5.0,0
2.736,7.019,5.612,0.235,15.822,3,9.0,1
2.17,2.233,0.142,0.207,4.772,2,6.0,0
0.06,0.352,0.0,0.0,0.429,0,0.0,0
8.841,30.948,12.382,0.432,52.136,7,45.0,1
4.354,8.606,25.724,0.51,39.165,8,52.0,1
0.088,0.145,0.0,0.0,0.194,1,1.0,0
3.114,2.521,0.707,0.014,6.332,2,4.0,0
2.802,4.27,0.412,1.496,9.0,2,6.0,0
1.982,1.068,0.0,0.264,3.283,1,2.0,0
9.189,23.849,31.521,1.863,66.293,7,54.0,1
4.908,30.071,10.585,2.977,48.765,4,43.0,1
8.087,30.802,17.022,2.437,58.459,6,33.0,1
4.714,8.518,31.022,1.452,45.591,5,28.0,1
4.923,15.349,9.868,3.013,33.221,8,22.0,1
4.398,9.607,21.623,1.339,37.286,7,26.0,1
4.262,8.053,12.102,2.18,26.685,4,31.0,1
5.692,19.773,9.39,0.603,35.554,8,30.0,1
4.202,8.324,18.866,1.163,32.715,5,41.0,1
0.286,0.767,0.0,0.0,0.993,2,3.0,0
4.188,9.281,21.294,0.477,35.273,7,29.0,1
4.885,26.101,33.581,2.625,67.353,3,51.0,1
7.866,14.248,34.305,0.357,56.605,7,24.0,1
9.307,33.134,30.528,1.677,74.725,3,30.0,1
0.069,1.175,0.0,0.0,1.308,1,2.0,0
0.086,0.975,0.0,0.0,1.131,1,1.0,0
0.96,1.95,0.0,0.698,3.679,1,2.0,0
2.758,4.125,3.549,0.495,10.762,3,14.0,1
9.153,27.489,30.907,0.116,67.428,6,38.0,1
0.02,0.035,0.0,0.0,0.091,0,0.0,0
2.113,7.65,12.656,2.065,24.168,11,31.0,1
4.388,6.128,14.108,1.15,25.642,3,43.0,1
1.867,5.117,6.786,0.521,14.052,4,7.0,1
1.286,3.808,0.124,0.433,5.684,2,5.0,0
1.369,3.935,8.245,0.02,13.51,3,7.0,1
0.045,0.041,0.0,0.0,0.056,1,0.0,0
0.24,0.191,0.0,0.0,0.472,1,0.0,0
2.804,1.545,0.199,0.287,4.847,2,4.0,0
0.025,0.74,0.0,0.0,0.701,1,0.0,0
0.035,0.141,0.0,0.0,0.237,0,0.0,0
4.71,17.315,27.401,1.767,51.226,8,43.0,1
0.383,0.719,0.0,0.144,1.232,1,1.0,0
3.996,4.319,23.49,0.792,32.705,4,27.0,1
